name,review,address,other_locations,phone,website,full_address,latitude,longitude,image
Lee's El Taco Garage,http://www.expressnews.com/food/article/365-Days-of-Tacos-Lee-s-El-Taco-Garage-11130477.php,8403 Broadway,None,210-826-4405,https://www.facebook.com/TacoGarageTX/,"8403 Broadway, San Antonio, Texas",29.515328,-98.465755,http://ww1.hdnux.com/photos/61/05/17/12866552/3/920x920.jpg
Maria's Cafe,http://www.expressnews.com/food/article/365-Days-of-Tacos-Maria-s-Cafe-11141729.php,1105 Nogalitos St.,None,210-227-7005,https://www.facebook.com/Marias-Cafe-265598423486322/,"1105 Nogalitos St., San Antonio, TX",29.402266,-98.510358,http://ww4.hdnux.com/photos/61/13/31/12891731/3/920x920.jpg
Tommy's Restaurant,http://www.expressnews.com/food/article/365-Days-of-Tacos-Tommy-s-Restaurant-11147513.php,1205 Nogalitos St.,"8823 Wurzbach Rd., 6702 San Pedro, 107 S. Flores",210-223-9841,http://www.mytommys.com/,"1205 Nogalitos St. San Antonio, TX 78204",29.401467,-98.511218,http://ww4.hdnux.com/photos/61/17/31/12908123/4/920x920.jpg
Patsy's Place,http://www.expressnews.com/food/article/365-Days-of-Tacos-Patsy-s-Place-11152856.php,11319 West Ave.,None,210-465-9131,https://www.facebook.com/PatsysPlaceSA/,"11319 West Ave., San Antonio, Texas",29.543319,-98.512763,http://ww2.hdnux.com/photos/61/22/05/12919133/3/920x920.jpg
Carnitas Lonja,http://www.expressnews.com/food/article/365-Days-of-Tacos-Carnitas-Lonja-11165743.php,1107 Roosevelt Ave.,None,210-612-3626,https://www.facebook.com/Lonja17/?ref=aymt_homepage_panel,"1107 Roosevelt Ave., San Antonio, TX",29.393136,-98.486338,http://ww2.hdnux.com/photos/61/32/20/12952597/9/920x920.jpg
Teran's Restaurant,http://www.expressnews.com/food/article/365-Days-of-Tacos-Teran-s-Restaurant-11167377.php,4403 E. Houston St.,None,210-333-6470,None,"4403 E. Houston St., San Antonio, TX",29.424735,-98.408971,http://ww2.hdnux.com/photos/61/33/06/12956077/3/920x920.jpg
Tacos Beto's,http://www.expressnews.com/food/article/365-Days-of-Tacos-Tacos-Beto-s-11176717.php,3715 Culebra Road,None,210-459-3134,https://www.facebook.com/Tacos-betos-815430361820546/,"3715 Culebra Road, San Antonio, TX",29.450485,-98.576858,http://ww4.hdnux.com/photos/61/40/61/12979303/3/920x920.jpg
Los Magueyes Mexican Restaurant,http://www.expressnews.com/food/article/365-Days-of-Tacos-Los-Magueyes-Mexican-Restaurant-11200174.php,3743 Pleasanton Rd.,None,210-922-2118,none,"3743 Pleasonton Rd., San Antonio, TX",29.341097,-98.504302,http://ww1.hdnux.com/photos/61/57/21/13038680/5/920x920.jpg
Las Sabrosas de Guanajuato,http://www.expressnews.com/food/article/365-Days-of-Tacos-Las-Sabrosas-de-Guanajuato-11214141.php#photo-13072917,6825 San Pedro Ave.,None,210-785-9211,https://www.facebook.com/Las-Sabrosas-de-Guanajuato-256849241005491/,"6825 San Pedro Ave. San Antonio, TX",29.502868,-98.499765,http://ww3.hdnux.com/photos/61/67/50/13072914/11/920x920.jpg
Taco Riendo,http://www.expressnews.com/food/article/365-Days-of-Tacos-Taco-Riendo-11230542.php,6624 San Pedro Ave.,None,210-824-9130,http://tacoriendotx.com/,"6624 San Pedro Ave., San Antonio, TX",29.499499,-98.49916,http://ww3.hdnux.com/photos/62/02/22/13116582/11/920x920.jpg
Los Valles,http://www.expressnews.com/food/article/365-Days-of-Tacos-Los-Valles-11248285.php#photo-13153358,3915 Nogalitos St.,None,210-927-9595,http://www.losvallesproduce.com/,"3915 Nogalitos St., San Antonio, TX",29.375932,-98.533732,http://ww3.hdnux.com/photos/62/13/21/13153354/5/920x920.jpg
Angela's Cafe,http://www.expressnews.com/food/article/365-Days-of-Tacos-Angela-s-Cafe-11259697.php,4822 S. Zarzamora St.,None,210-923-0604,None,"4822 S. Zarzamora St., San Antonio TX",29.377524,-98.533926,http://ww1.hdnux.com/photos/62/20/21/13173860/3/920x920.jpg
Mi Tierra Cafe y Panadería,http://www.expressnews.com/food/article/365-Days-of-Tacos-Mi-Tierra-Cafe-y-Panader-a-11278793.php,218 Produce Row at Market Square,None,210-225-1262,http://mitierracafe.com/,"218 Produce Row at Market Square, San Antonio, TX",29.424968,-98.499705,http://ww4.hdnux.com/photos/62/32/46/13216179/3/920x920.jpg
Ruthie's Mexican Restaurant,http://www.expressnews.com/food/article/365-Days-of-Tacos-Ruthie-s-Mexican-Restaurant-11284350.php#photo-13233899,11423 West Ave,None,210-308-0253,https://www.facebook.com/Ruthies78213/,"11423 West Ave., San Antonio, TX",29.544195,-98.51152,http://ww4.hdnux.com/photos/62/36/73/13233891/3/920x920.jpg
Taco Libre,http://www.expressnews.com/food/article/365-Days-of-Tacos-Taco-Libre-11302046.php#photo-13269698,6511 Ingram Road,None,210-592-6288,https://www.facebook.com/vivatacolibre,"6511 Ingram Road, San Antonio, TX",29.46669,-98.616118,http://ww1.hdnux.com/photos/62/47/53/13269696/3/920x920.jpg
Sazón Mexican Cafe,http://www.expressnews.com/food/article/365-Days-of-Tacos-Saz-n-Mexican-Cafe-11344900.php#photo-13332613,9822 Potranco Road,None,210-256-1500,http://sazonmexicancafe.com/," 9822 Potranco Road, San Antonio, TX",29.436138,-98.683791,http://ww2.hdnux.com/photos/62/67/02/13332613/3/920x920.jpg
La Perla del Pacifico,http://www.expressnews.com/food/article/365-Days-of-Tacos-La-Perla-del-Pacifico-11721572.php#photo-13481108,7911 Culebra Road,None,210-973-7600,https://www.facebook.com/laperladelpacificorestaurant/," 7911 Culebra Road, San Antonio, TX",29.464566,-98.644082,http://ww3.hdnux.com/photos/63/33/22/13481106/3/920x920.jpg
Rossy's Tacos,http://www.expressnews.com/food/article/365-Days-of-Tacos-Rossy-s-Tacos-11741810.php#photo-13657859,3211 Pleasanton Road,None,210-924-0252,None,"3211 Pleasanton Road, San Antonio, TX",29.347375,-98.504161,http://ww2.hdnux.com/photos/64/06/34/13657857/3/920x920.jpg
Yatzil Mexican Restaurant,http://www.expressnews.com/food/article/365-Days-of-Tacos-Yatzil-Mexican-Restaurant-11818770.php#photo-13750870,502 S. Zarzamora St.,None,210-432-2240,https://www.facebook.com/YatzilMexicanRestaurant/,"502 S. Zarzamora St., San Antonio, TX",29.423712,-98.52728,http://ww2.hdnux.com/photos/64/35/11/13750869/3/920x920.jpg
El Siete Mares,http://www.expressnews.com/food/article/365-Days-of-Tacos-El-Siete-Mares-11859249.php#photo-13807137,3831 W. Commerce St.,None,210-436-6056,http://elsietemaressa.com/," 3831 W. Commerce St., San Antonio, TX",29.429701,-98.540922,http://ww4.hdnux.com/photos/64/52/70/13807135/3/920x920.jpg
Garcia's Mexican Food,http://www.expressnews.com/food/article/365-Days-of-Tacos-Garcia-s-Mexican-Food-11947198.php#photo-13868736,842 Fredericksburg Rd.,None,210-735-4525,https://www.facebook.com/Garcias-Mexican-Food-133549451128/,"842 Fredericksburg Road, San Antonio, TX",29.451736,-98.513313,http://ww3.hdnux.com/photos/64/71/72/13868734/11/920x920.jpg
Yolanda's Uptown Cafe,http://www.expressnews.com/food/article/365-Days-of-Tacos-Yolanda-s-Uptown-Cafe-11960767.php,615 Fredericksburg Road,None,210-732-2633,None,"615 Fredericksburg Road, San Antonio, TX",29.448852,-98.511105,http://ww1.hdnux.com/photos/65/01/62/13900948/3/920x920.jpg
Bertha's Mexican Restaurant,http://www.expressnews.com/food/article/365-Days-of-Tacos-Bertha-s-Mexican-Restaurant-12049004.php,2629 W. Martin St.,None,210-860-6143,None,"2629 W. Martin St., San Antonio, TX",29.431855,-98.521723,Loading...
Tacos Lira,http://www.expressnews.com/food/article/365-Days-of-Tacos-Tacos-Lira-12167775.php,227 Enrique M. Barrera Parkway,None,210-430-7050,https://www.facebook.com/tacoslirasa/,"227 Enrique M. Barrera Parkway, San Antonio, TX",29.430694,-98.56433,http://ww1.hdnux.com/photos/65/42/42/14035124/3/920x920.jpg
Tacos Mando,http://www.expressnews.com/food/article/365-Days-of-Tacos-Tacos-Mando-12184178.php,1231 W. Hildebrand Ave.,None,281-204-3537,https://www.facebook.com/tacosmando/,"1231 W. Hildebrand Ave., San Antonio, TX",29.466642,-98.514702,http://ww1.hdnux.com/photos/65/54/13/14074592/3/920x920.jpg
Lydia's Taco House,http://www.expressnews.com/food/article/365-Days-of-Tacos-Lydia-s-Taco-House-12189404.php,536 S. W.W. White Road,None,210-628-1133,None,"536 S. W.W. White Road, San Antonio, TX",29.42268,-98.40522,http://ww1.hdnux.com/photos/65/60/16/14091180/3/920x920.jpg
Chacho's,http://www.expressnews.com/food/article/365-Days-of-Tacos-Chacho-s-12194727.php,7870 Callaghan Road,Five other stores,210-366-2023,http://chachos.com,"7870 Callaghan Road, San Antonio, TX",29.509521,-98.553569,http://ww3.hdnux.com/photos/65/63/00/14102550/3/920x920.jpg
Millie's Cafe,http://www.expressnews.com/food/article/365-Days-of-Tacos-Millie-s-Cafe-12201883.php,102 Springfield Road,None,210-440-5680,None,"102 Springfield Road, San Antonio, TX",29.440426,-98.405095,http://ww1.hdnux.com/photos/65/66/74/14118700/5/920x920.jpg
La Fogata,http://www.expressnews.com/food/article/365-Days-of-Tacos-La-Fogata-12207228.php,2427 Vance Jackson Road,None,210-340-1337,http://www.lafogata.com,"2427 Vance Jackson Road, San Antonio, TX",29.495865,-98.53527,http://ww2.hdnux.com/photos/65/72/60/14134313/3/920x920.jpg
Chela's Tacos,http://www.expressnews.com/food/article/365-Days-of-Tacos-Chela-s-Tacos-12216102.php,"5231 Broadway, Suite #117",None,210-753-1040,https://www.facebook.com/chelastacosalamoheights/,"5231 Broadway, Suite #117, San Antonio, TX",29.475938,-98.463245,http://ww2.hdnux.com/photos/65/77/73/14155497/3/920x920.jpg
Lil' Jonny's Taco House,http://www.expressnews.com/food/article/365-Days-of-Tacos-Lil-Jonny-s-Taco-House-12218338.php,3601 N. PanAm Expressway,None,210-227-7533,https://www.facebook.com/Lil-Jonnys-Taco-House-559074144208530/,"3601 N. PanAm Expressway, San Antonio, TX",29.448105,-98.428287,http://ww4.hdnux.com/photos/66/01/12/14160551/3/920x920.jpg
Mama's Kitchen,http://www.expressnews.com/food/article/365-Days-of-Tacos-Mama-s-Kitchen-12227461.php,504 W. Hildebrand Ave.,None,210-733-0904,https://www.facebook.com/Mamas-Kitchen-1491986057782369/,"504 W. Hildebrand Ave., San Antonio, TX",29.466275,-98.501741,http://ww4.hdnux.com/photos/66/17/55/14220123/3/920x920.jpg
Chaparritas Mexican Restaurant,http://www.expressnews.com/food/article/365-Days-of-Tacos-Chaparritas-Mexican-Restaurant-12246783.php,7350 Tezel Road,None,210-520-8100,https://www.facebook.com/ChaparritasMexicanRestaurant/,"7350 Tezel Road, San Antonio, TX",29.504805,-98.661699,http://ww4.hdnux.com/photos/66/34/30/14272063/3/920x920.jpg
Mia’s Mexican Grill,http://www.expressnews.com/food/article/365-Days-of-Tacos-Mia-s-Mexican-Grill-12253925.php,11739 Bandera Road,None,210-680-4478,http://www.miasmexicangrill.com/,"11739 Bandera Road, San Antonio, TX",29.550721,-98.668501,http://ww1.hdnux.com/photos/66/40/26/14288304/3/920x920.jpg
La Barca de Jalisco,http://www.expressnews.com/food/article/365-Days-of-Tacos-La-Barca-de-Jalisco-12263714.php#photo-14313537,606 Steves Ave.,None,210-534-311,https://www.facebook.com/Labarcadejal/,"606 Steve Ave., San Antonio, TX",29.394856,-98.490944,Loading...
Paulina's Mexican Restaurant,http://www.expressnews.com/food/article/365-Days-of-Tacos-Paulina-s-Mexican-Restaurant-12270544.php,1438 W. Hutchins Place,None,210-928-2499,https://www.facebook.com/Paulinas-Mexican-Restaurant-177177872329268/,"1438 W. Hutchins Place, San Antonio, TX",29.345156,-98.527214,http://ww3.hdnux.com/photos/66/52/17/14328822/3/920x920.jpg
Georgia’s Mexican Restaurant,http://www.expressnews.com/food/article/365-Days-of-Tacos-Georgia-s-Mexican-Restaurant-12284148.php,2214 Palo Alto Road,None,210-923-9313,None,"2214 Palo Alto Road, San Antonio, TX",29.328161,-98.551887,http://ww4.hdnux.com/photos/66/62/57/14363615/5/920x920.jpg
Taco House,http://www.expressnews.com/food/article/365-Days-of-Tacos-Taco-House-12318356.php,6307 San Pedro Ave.,None,210-341-3136,https://www.facebook.com/tacohousesa/,"6307 San Pedro Ave., San Antonio, TX",29.494687,-98.499565,http://ww4.hdnux.com/photos/67/10/53/14453483/5/920x920.jpg
El Jarro de Arturo,http://www.expressnews.com/food/article/365-Days-of-Tacos-El-Jarro-de-Arturo-12323886.php,13421 San Pedro Ave.,None,210-494-5084,http://eljarro.com/,"13421 San Pedro Ave., San Antonio, TX",29.564953,-98.484105,http://ww4.hdnux.com/photos/67/13/65/14466371/7/920x920.jpg
Sangria on the Burg,http://www.expressnews.com/food/article/365-Days-of-Tacos-Sangria-on-the-Burg-12336539.php,5115 Fredericksburg Road,None,210-265-3763,http://www.sangriaontheburg.com/,"5115 Fredericksburg Road, San Antonio",29.501592,-98.560025,http://ww4.hdnux.com/photos/67/24/26/14501311/11/920x920.jpg
Cascabel Mexican Patio,http://www.expressnews.com/food/article/365-Days-of-Tacos-Cascabel-Mexican-Patio-12342348.php,1000 S. St. Mary’s St.,None,210-212-6456,None,"1000 S. St. Mary’s St., San Antonio, TX",29.414503,-98.488853,http://ww4.hdnux.com/photos/67/27/42/14514307/3/920x920.jpg
El Bandolero,http://www.expressnews.com/food/article/365-Days-of-Tacos-El-Bandolero-12354059.php,14087 O’Connor Road,None,210-863-4127,https://www.facebook.com/ElBandoleroTacos/,"14087 O’Connor Road, San Antonio, TX",29.569707,-98.386756,http://ww3.hdnux.com/photos/67/36/06/14541186/3/920x920.jpg
La Bandera Molino,http://www.expressnews.com/food/article/365-Days-of-Tacos-La-Bandera-Molino-12372739.php,2619 N. Zarzamora St.,None,210-434-0631,None,"2619 N. Zarzamora St., San Antonio, TX",29.455621,-98.523846,http://ww3.hdnux.com/photos/67/47/70/14581290/3/920x920.jpg
Gibby’s La Cocina,http://www.expressnews.com/food/article/365-Days-of-Tacos-Gibby-s-La-Cocina-12378139.php,2602 Nogalitos St.,None,210-922-9660,None,"2602 Nogalitos St., San Antonio, TX",29.389217,-98.521208,http://ww3.hdnux.com/photos/67/52/32/14591674/3/920x920.jpg
Henry’s Puffy Tacos,http://www.expressnews.com/food/article/365-Days-of-Tacos-Henry-s-Puffy-Tacos-12387284.php,6030 Bandera Road,None,210-647-8339,http://henryspuffytacos.com/,"6030 Bandera Road, San Antonio, TX",29.483517,-98.604662,http://ww2.hdnux.com/photos/67/57/32/14612117/3/920x920.jpg
Aldaco's Mexican Cuisine,http://www.expressnews.com/food/article/365-Days-of-Tacos-Aldaco-s-Mexican-Cuisine-12401953.php,20079 Stone Oak Parkway,None,210-494-0561,http://aldacosrestaurants.com/,"20079 Stone Oak Parkway, San Antonio TX",29.642776,-98.488973,http://ww4.hdnux.com/photos/67/66/76/14643099/3/920x920.jpg
Tacos La Salsita,http://www.expressnews.com/food/article/365-Days-of-Tacos-Tacos-La-Salsita-12404771.php#photo-14649850,8714 Marbach Road,None,None,None,"8714 Marbach Road, San Antonio Tx",29.417369,-98.657807,http://ww1.hdnux.com/photos/67/70/47/14649848/3/920x920.jpg
El Nogal,http://www.expressnews.com/food/article/365-Days-of-Tacos-El-Nogal-12407426.php?t=3c4ef16c21,1605 N. St. Mary's St.,None,210-225-8356,None,"1605 N. St. Mary's St., San Antonio TX",29.439189,-98.484947,http://ww1.hdnux.com/photos/67/71/56/14654372/3/920x920.jpg
Peter El Norteño,http://www.expressnews.com/food/article/365-Days-of-Tacos-Peter-El-Norte-o-12414429.php,542 Fredericksburg Road,None,210-731-2912,None,"542 Fredericksburg Road, San Antonio TX",29.447957,-98.509692,http://ww2.hdnux.com/photos/67/75/17/14668769/3/920x920.jpg
Rancho Grande,http://www.expressnews.com/food/article/365-Days-of-Tacos-Rancho-Grande-12423214.php,3719 S.E. Military Drive,None,210-359-9200,None,"3719 S.E. Military Drive, San Antonio, TX",29.35459,-98.423185,http://ww4.hdnux.com/photos/70/01/77/14688223/3/920x920.jpg
Taco Nando,http://www.expressnews.com/food/article/365-Days-of-Tacos-Taco-Nando-12439426.php,2820 Nogalitos St.,None,210-533-0412,None,"2820 Nogalitos St., San Antonio, TX",29.38723,-98.522848,http://ww2.hdnux.com/photos/70/11/71/14720617/3/920x920.jpg
Blanco Cafe,http://www.expressnews.com/food/article/365-Days-of-Tacos-Blanco-Cafe-12442349.php,1720 Blanco Road,None,210-732-6480,http://w.singlepage.com/blanco-cafe/menu?ref=integration,"1720 Blanco Road, San Antonio, TX",29.46225,-98.507677,http://ww2.hdnux.com/photos/70/13/37/14727113/3/920x920.jpg
Chago's,http://www.expressnews.com/food/article/365-Days-of-Tacos-Chago-s-12447468.php,11827 Perrin Beitel Road,None,210-637-9815,https://www.facebook.com/TACOS-CHAGOS-425124427578385/,"11827 Perrin Beitel Road, San Antonio, TX",29.547439,-98.409606,http://ww1.hdnux.com/photos/70/15/75/14737228/11/920x920.jpg
Restaurante El D.F.,http://www.expressnews.com/food/article/365-Days-of-Tacos-Restaurante-El-D-F-12447510.php,4119 Culebra Road,None,210-431-0157,https://www.facebook.com/ELDf2/,"4119 Culebra Road, San Antonio, TX",29.448751,-98.585957,http://ww2.hdnux.com/photos/70/15/76/14737329/3/920x920.jpg
King’s Hwy Brew & Q,http://www.expressnews.com/food/article/365-Days-of-Tacos-King-s-Hwy-Brew-Q-12447587.php,1012 N. Flores St.,None,210-971-9024,http://www.kingshwybnq.com/,"1012 N. Flores St., San Antonio, TX",29.435473,-98.499886,http://ww3.hdnux.com/photos/70/16/00/14737446/3/920x920.jpg
